run,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,0.00346574,0.00117549,0.0017371,0.00055315,0.00092751,99.62
2,0.00326773,0.0010724,0.00169071,0.00050462,0.00087452,90.88
3,0.00336062,0.00107539,0.00177918,0.00050605,0.00089938,91.14
4,0.00342451,0.00107351,0.00184585,0.00050515,0.00091647,90.98
5,0.00340874,0.00106839,0.0018376,0.00050275,0.00091225,90.55
6,0.00341313,0.00107037,0.00183907,0.00050368,0.00091343,90.71
7,0.0033824,0.00106181,0.00182094,0.00049965,0.0009052,89.98
8,0.00339837,0.00106667,0.00182976,0.00050194,0.00090948,90.4
9,0.00342596,0.00107448,0.00184585,0.00050562,0.00091686,91.06
10,0.00340241,0.00106854,0.00183105,0.00050283,0.00091056,90.56
