run,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,0.00341687,0.00117842,0.00168392,0.00055453,0.00091443,99.87
2,0.00316417,0.00106326,0.00160058,0.00050034,0.0008468,90.11
3,0.00326454,0.00107922,0.00167747,0.00050785,0.00087366,91.46
4,0.00329717,0.00107227,0.00172034,0.00050456,0.0008824,90.87
5,0.00336452,0.00107491,0.00178378,0.00050582,0.00090042,91.1
6,0.00341831,0.00108421,0.00182391,0.0005102,0.00091482,91.89
7,0.00338286,0.00107367,0.00180396,0.00050524,0.00090533,91.0
8,0.00335781,0.00106627,0.00178979,0.00050176,0.00089863,90.38
9,0.00339738,0.00107998,0.00180919,0.00050821,0.00090921,91.53
10,0.00337587,0.00107399,0.00179649,0.00050539,0.00090346,91.02
