run,accuracy,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,0.8666,0.00198097,0.00059818,0.00110129,0.00028149,0.00089663,50.7
2,0.8662,0.00196388,0.00059265,0.00109235,0.00027889,0.00088889,50.23
3,0.8652,0.00197299,0.00059331,0.00110047,0.0002792,0.00089302,50.29
4,0.8646,0.00192071,0.00057744,0.00107155,0.00027173,0.00086935,48.95
5,0.8576,0.00197228,0.00059209,0.00110157,0.00027862,0.0008927,50.18
6,0.8562,0.00199522,0.00059823,0.00111548,0.00028151,0.00090308,50.71
7,0.8656,0.0019901,0.00059558,0.00111425,0.00028027,0.00090076,50.48
8,0.8648,0.00201293,0.00060098,0.00112914,0.00028281,0.00091109,50.94
9,0.8642,0.00199367,0.00059567,0.0011177,0.00028031,0.00090238,50.48
10,0.8676,0.0020113,0.00059942,0.00112981,0.00028207,0.00091036,50.8
