run,accuracy,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,0.8618,0.0030113,0.00100013,0.00154055,0.00047062,0.00136298,84.76
2,0.8622,0.00194586,0.00061538,0.0010409,0.00028958,0.00088074,52.16
3,0.8688,0.00196105,0.00061365,0.00105864,0.00028877,0.00088761,52.01
4,0.8628,0.00200898,0.00062042,0.0010966,0.00029196,0.0009093,52.59
5,0.8586,0.00202807,0.00062064,0.00111538,0.00029205,0.00091795,52.61
6,0.8676,0.00203593,0.00062288,0.00111995,0.00029311,0.00092151,52.79
7,0.87,0.00195098,0.00059547,0.00107529,0.00028021,0.00088305,50.46
8,0.8636,0.00201978,0.00061316,0.00111807,0.00028854,0.00091419,51.96
9,0.868,0.0020509,0.00062123,0.00113733,0.00029233,0.00092828,52.65
10,0.8658,0.00205211,0.00062119,0.00113863,0.00029229,0.00092883,52.65
