run,epochs_run,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,3,0.00046321,0.00014916,0.00024385,7.019e-05,0.00020966,12.64
2,4,0.00044567,0.00014801,0.00022802,6.965e-05,0.00020172,12.54
3,3,0.00042485,0.00014123,0.00021716,6.646e-05,0.0001923,11.97
4,3,0.00042625,0.0001416,0.00021803,6.663e-05,0.00019293,12.0
5,3,0.00041951,0.00013909,0.00021497,6.545e-05,0.00018988,11.79
6,3,0.00041442,0.00013746,0.00021227,6.468e-05,0.00018757,11.65
7,4,0.00044353,0.00014676,0.00022771,6.906e-05,0.00020075,12.44
8,3,0.00041839,0.00013879,0.00021429,6.531e-05,0.00018937,11.76
9,3,0.00042513,0.00014101,0.00021777,6.635e-05,0.00019242,11.95
10,3,0.00042806,0.00014164,0.00021977,6.665e-05,0.00019375,12.0
