run,epochs_run,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,5,0.00067126,0.00021873,0.00034959,0.00010293,0.00030382,18.54
2,3,0.00048702,0.0001632,0.00024702,7.68e-05,0.00022044,13.83
3,5,0.00051497,0.0001719,0.00026218,8.089e-05,0.00023309,14.57
4,3,0.00049369,0.00016485,0.00025127,7.757e-05,0.00022345,13.97
5,5,0.0005335,0.00017719,0.00027293,8.338e-05,0.00024147,15.01
6,5,0.00052939,0.00017551,0.0002713,8.259e-05,0.00023961,14.87
7,5,0.00053264,0.00017663,0.00027289,8.312e-05,0.00024108,14.97
8,5,0.00051568,0.00017152,0.00026345,8.071e-05,0.00023341,14.53
9,3,0.00049636,0.00016484,0.00025395,7.757e-05,0.00022466,13.97
10,3,0.00049252,0.00016338,0.00025226,7.688e-05,0.00022292,13.85
