run,avg_reward,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,1.0,0.00019368,6.584e-05,9.685e-05,3.098e-05,8.766e-05,5.58
2,1.0,0.00016399,5.563e-05,8.218e-05,2.618e-05,7.422e-05,4.72
3,1.0,0.00016967,5.756e-05,8.503e-05,2.709e-05,7.68e-05,4.88
4,1.0,0.00016151,5.503e-05,8.058e-05,2.59e-05,7.31e-05,4.67
5,1.0,0.00016233,5.503e-05,8.141e-05,2.589e-05,7.347e-05,4.67
6,1.0,0.00016662,5.669e-05,8.326e-05,2.667e-05,7.542e-05,4.81
7,1.0,0.0001616,5.502e-05,8.069e-05,2.589e-05,7.315e-05,4.67
8,1.0,0.00016265,5.523e-05,8.144e-05,2.599e-05,7.362e-05,4.68
9,1.0,0.000166,5.622e-05,8.333e-05,2.645e-05,7.514e-05,4.77
10,1.0,0.00016096,5.446e-05,8.087e-05,2.563e-05,7.285e-05,4.62
