run,avg_reward,energy_kWh,cpu_energy_kWh,gpu_energy_kWh,ram_energy_kWh,emissions_kgCO2,duration_s
1,1.0,0.00960019,0.00319564,0.00490078,0.00150377,0.00434525,270.81
2,1.0,0.00938412,0.00311277,0.00480658,0.00146477,0.00424745,263.79
3,1.0,0.009588,0.00317526,0.00491854,0.0014942,0.00433973,269.08
4,1.0,0.00926751,0.00306719,0.00475699,0.00144332,0.00419467,259.93
5,1.0,0.00943421,0.00312186,0.00484331,0.00146904,0.00427012,264.55
6,1.0,0.0093261,0.00310593,0.00475861,0.00146156,0.00422118,263.22
7,1.0,0.00889246,0.00299951,0.00448148,0.00141146,0.00402491,254.19
8,1.0,0.00914551,0.00309716,0.00459094,0.00145741,0.00413945,262.47
9,1.0,0.00931403,0.00316932,0.00465331,0.0014914,0.00421572,268.58
10,1.0,0.00970795,0.00329909,0.00485645,0.00155242,0.00439402,279.57
